Landuse,Plot,Soil Respiration (mg C m-2 hr-1),Soil Moisture (m3 m-3),Month,Year
Rubber,BR1,136.5637156,0.293453917,1,2013
Rubber,BR1,91.85,0.301364185,2,2013
Rubber,BR1,126.0008612,0.327499089,3,2013
Rubber,BR1,170.77,0.300495571,4,2013
Rubber,BR1,112.06,0.278181377,5,2013
Rubber,BR1,173.6490434,0.249784554,6,2013
Rubber,BR1,193.47,0.246189594,7,2013
Rubber,BR1,211.25,0.195634913,8,2013
Rubber,BR1,172.35,0.223592271,9,2013
Rubber,BR1,207.25,0.265684913,10,2013
Rubber,BR1,242.83,0.304958073,11,2013
Rubber,BR1,225.45,0.316764213,12,2013
Rubber,BR2,127.0740319,0.299415584,1,2013
Rubber,BR2,47.46,0.311321977,2,2013
Rubber,BR2,215.940948,0.298241744,3,2013
Rubber,BR2,351.95,0.285082721,4,2013
Rubber,BR2,101.99,0.317270224,5,2013
Rubber,BR2,270.2216813,0.184705944,6,2013
Rubber,BR2,181.82,0.243995966,7,2013
Rubber,BR2,261.73,0.235486648,8,2013
Rubber,BR2,180.82,0.260144221,9,2013
Rubber,BR2,241.78,0.27498,10,2013
Rubber,BR2,302.73,0.289816827,11,2013
Rubber,BR2,165.48,0.29214723,12,2013
Rubber,BR3,175.4884623,0.274208494,1,2013
Rubber,BR3,90.87,0.300402443,2,2013
Rubber,BR3,247.3326514,0.230735525,3,2013
Rubber,BR3,340.97,0.253616455,4,2013
Rubber,BR3,207.82,0.33569769,5,2013
Rubber,BR3,165.8381257,0.170284886,6,2013
Rubber,BR3,224.54,0.238715957,8,2013
Rubber,BR3,239.86,0.202098987,9,2013
Rubber,BR3,207.5,0.258046974,9,2013
Rubber,BR3,228.1,0.26676,10,2013
Rubber,BR3,248.67,0.275480711,11,2013
Rubber,BR3,286.63,0.304691126,12,2013
Rubber,BR4,114.2838931,0.421373178,1,2013
Rubber,BR4,123.81,0.454607446,2,2013
Rubber,BR4,61.74297281,0.421558834,3,2013
Rubber,BR4,233.85,0.399999324,4,2013
Rubber,BR4,124.79,0.433859198,5,2013
Rubber,BR4,185.9238909,0.341354058,6,2013
Rubber,BR4,176.59,0.398420428,7,2013
Rubber,BR4,205.54,0.357619885,8,2013
Rubber,BR4,139.45,0.441506005,9,2013
Rubber,BR4,171.22,0.4333,10,2013
Rubber,BR4,202.99,0.42509329,11,2013
Rubber,BR4,168.3,0.466927097,12,2013
Rubber,HR1,201.4375954,0.334708873,1,2013
Rubber,HR1,250.9085415,0.368573517,2,2013
Rubber,HR1,217.2502719,0.420214667,3,2013
Rubber,HR1,131.8298219,0.359696125,4,2013
Rubber,HR1,109.9938649,0.399345565,5,2013
Rubber,HR1,70.37566305,0.366272653,6,2013
Rubber,HR1,187.2738653,0.322317021,7,2013
Rubber,HR1,222.5840028,0.254228972,8,2013
Rubber,HR1,110.1924851,0.34164226,9,2013
Rubber,HR1,210.319152,0.295953666,10,2013
Rubber,HR1,196.3007988,0.39669368,11,2013
Rubber,HR1,127.2404062,0.385412956,12,2013
Rubber,HR2,202.9067953,0.350271184,1,2013
Rubber,HR2,190.6840148,0.424091015,2,2013
Rubber,HR2,241.6081129,0.380380411,3,2013
Rubber,HR2,191.9924187,0.433385748,4,2013
Rubber,HR2,203.9259473,0.466673101,5,2013
Rubber,HR2,101.2170677,0.420129698,6,2013
Rubber,HR2,302.1540022,0.364874264,7,2013
Rubber,HR2,344.6546671,0.285317444,8,2013
Rubber,HR2,230.3886853,0.388492562,9,2013
Rubber,HR2,251.6788505,0.333581869,10,2013
Rubber,HR2,246.7228898,0.384810866,11,2013
Rubber,HR2,159.9133084,0.411487341,12,2013
Rubber,HR3,155.7398454,0.310922046,1,2013
Rubber,HR3,152.0435545,0.303799402,2,2013
Rubber,HR3,150.62,0.3081,3,2013
Rubber,HR3,149.1844286,0.312445049,4,2013
Rubber,HR3,201.1913241,0.31980167,5,2013
Rubber,HR3,133.31586,0.27479605,6,2013
Rubber,HR3,115.9599824,0.282470485,7,2013
Rubber,HR3,182.5385551,0.215639152,8,2013
Rubber,HR3,204.1028592,0.270380319,9,2013
Rubber,HR3,140.3048162,0.263816933,10,2013
Rubber,HR3,229.1590432,0.30487366,11,2013
Rubber,HR3,79.62869781,0.310950064,12,2013
Rubber,HR4,243.4029984,0.469732387,1,2013
Rubber,HR4,191.6055769,0.437680608,2,2013
Rubber,HR4,179.54,0.43555,3,2013
Rubber,HR4,167.4842708,0.433081484,4,2013
Rubber,HR4,162.6944012,0.49716469,5,2013
Rubber,HR4,135.4135874,0.468585738,6,2013
Rubber,HR4,197.9973002,0.319162525,7,2013
Rubber,HR4,234.3281348,0.35384647,8,2013
Rubber,HR4,179.1381041,0.390737307,9,2013
Rubber,HR4,196.0383109,0.358084152,10,2013
Rubber,HR4,219.4536971,0.435144027,11,2013
Rubber,HR4,105.209579,0.474758813,12,2013
