Year,Month,Hour,Traspiration (mm hr-1)
2013,12,0,0.004357438
2013,12,0.5,0.003854033
2013,12,1,0.003419119
2013,12,1.5,0.00323429
2013,12,2,0.003071453
2013,12,2.5,0.00303527
2013,12,3,0.002847425
2013,12,3.5,0.002763105
2013,12,4,0.002687164
2013,12,4.5,0.00289861
2013,12,5,0.002902977
2013,12,5.5,0.002900416
2013,12,6,0.002921077
2013,12,6.5,0.003030155
2013,12,7,0.003249069
2013,12,7.5,0.004200629
2013,12,8,0.008557542
2013,12,8.5,0.022969136
2013,12,9,0.046532966
2013,12,9.5,0.068687951
2013,12,10,0.085924227
2013,12,10.5,0.098550711
2013,12,11,0.102743054
2013,12,11.5,0.107515648
2013,12,12,0.10853054
2013,12,12.5,0.111019432
2013,12,13,0.110566676
2013,12,13.5,0.107052273
2013,12,14,0.098483203
2013,12,14.5,0.092063323
2013,12,15,0.08542066
2013,12,15.5,0.075848665
2013,12,16,0.067866507
2013,12,16.5,0.05850684
2013,12,17,0.046814184
2013,12,17.5,0.033390817
2013,12,18,0.022694701
2013,12,18.5,0.016189401
2013,12,19,0.012303763
2013,12,19.5,0.009922219
2013,12,20,0.008071372
2013,12,20.5,0.007150019
2013,12,21,0.006049048
2013,12,21.5,0.005102083
2013,12,22,0.004467119
2013,12,22.5,0.00399135
2013,12,23,0.00367558
2013,12,23.5,0.003353992
